"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"André-Michel Brégeon "	"France"	"Vallée de la Loire"	"Gros Plant du Pays Nantais"	"blanc"	"2010"	"75 cl"	"2013-08-24"	"3.50"	"3.50"	"6"	"6"	"1"	"4"	"1"				"En direct du producteur"
"Arnaud Ente - Clos des Ambres"	"France"	"Bourgogne"	"Meursault"	"blanc"	"2010"	"75 cl"	"2014-01-17"	"90.30"	"90.30"	"1"	"1"	"3"	"15"	"3"			"Cave de Longchamp"	"Cadeau"
"Artadi Viñas de Gain"	"Espagne"	"Rioja"	"Rioja"	"rouge"	"2011"	"75 cl"	"2013-10-28"	"18.00"	"18.00"	"6"	"6"	"1"	"9"	"4"			"Ventre à la propriété"	"Achat sur Internet"
"Auguste Pirou"	"France"	"Jura"	"Arbois"	"vin jaune"	"2004"	"62 cl"	"2013-09-16"	"15.00"	"15.00"	"1"	"2"	"4"	"30"	"4"				"Grande surface"
"Auguste Pirou"	"France"	"Jura"	"Arbois"	"vin jaune"	"2002"	"62 cl"	"2013-12-09"	"17.50"	"17.50"	"1"	"1"	"5"	"30"	"5"			"Leclerc"	"Grande surface"
"Auguste Pirou"	"France"	"Jura"	"Côtes du Jura"	"vin de paille"	"-"	"37,5 cl"	"2013-12-09"	"16.90"	"16.90"	"2"	"2"	"4"	"30"	"4"			"Leclerc"	"Grande surface"
"Ayala Brut Majeur"	"France"	"Champagne"	"Champagne"	"blanc effervescent"	"-"	"75 cl"	"2015-12-24"	"0.00"	"0.00"	"0"	"1"	"2"	"10"	"2"			"Cadeau Jean-Paul"	"Cadeau"
"Barahonda - Tranco"	"Espagne"	"Levant"	"Yecla"	"rouge"	"2010"	"75 cl"	"2013-10-28"	"6.90"	"6.90"	"2"	"12"	"1"	"8"	"3"			"Ventre à la propriété"	"Achat sur Internet"
"Baron Philippe de Rothschild, Mouton Cadet"	"France"	"Bordeaux"	"Bordeaux"	"rouge"	"2009"	"75 cl"	"2012-01-01"	"6.00"	"9.00"	"0"	"6"	"3"	"5"	"3"		"Mix prix internet"	"Super U Saint Philbert"	"Non défini"
"Bodegas Bleda - Castillo de Jumilla Crianza"	"Espagne"	"Levant"	"Jumilla"	"rouge"	"2010"	"75 cl"	"2015-10-27"	"35.00"	"35.00"	"6"	"6"	"5"	"35"	"5"			"Ventealapropriete.com"	"Achat sur Internet"
"Bodegas Viña Magaña - Calchetas"	"Espagne"	"Navarre"	"Navarra"	"rouge"	"2005"	"75 cl"	"2016-05-30"	"34.90"	"34.90"	"5"	"6"	"1"	"25"	"1"			"Ventealapropriete.com"	"Achat sur Internet"
